482 1193 
345 290 1 
345 0 1 
344 392 1 
344 181 1 
130 341 1 
130 199 1 
130 463 1 
469 90 1 
469 214 1 
469 186 1 
80 448 1 
80 369 1 
80 382 1 
203 5 1 
203 154 1 
96 337 1 
96 432 1 
96 269 1 
96 140 1 
341 437 1 
379 355 1 
379 264 1 
379 74 1 
379 79 1 
379 2 1 
379 229 1 
379 21 1 
289 323 1 
289 373 1 
289 367 1 
392 341 1 
392 196 1 
392 38 1 
413 119 1 
413 425 1 
413 441 1 
413 381 1 
413 385 1 
182 393 1 
182 36 1 
182 207 1 
182 273 1 
182 269 1 
182 460 1 
182 287 1 
418 333 1 
418 216 1 
418 93 1 
418 181 1 
393 439 1 
393 333 1 
393 40 1 
393 6 1 
198 366 1 
198 404 1 
198 151 1 
198 358 1 
198 181 1 
448 412 1 
448 78 1 
448 278 1 
448 380 1 
459 159 1 
459 270 1 
459 148 1 
459 305 1 
66 472 1 
66 251 1 
66 300 1 
166 467 1 
166 235 1 
166 332 1 
310 430 1 
310 191 1 
32 296 1 
32 176 1 
199 467 1 
199 183 1 
199 84 1 
114 378 1 
114 5 1 
114 395 1 
114 481 1 
114 446 1 
348 448 1 
348 65 1 
348 241 1 
348 423 1 
348 55 1 
337 36 1 
337 442 1 
337 0 1 
51 26 1 
51 59 1 
51 283 1 
19 129 1 
19 259 1 
19 24 1 
19 128 1 
19 240 1 
19 225 1 
145 267 1 
145 13 1 
145 429 1 
87 423 1 
87 171 1 
451 277 1 
451 187 1 
451 258 1 
451 275 1 
467 248 1 
467 212 1 
467 286 1 
95 162 1 
95 90 1 
95 457 1 
95 438 1 
328 59 1 
328 475 1 
125 332 1 
125 431 1 
125 228 1 
125 437 1 
36 163 1 
36 425 1 
119 64 1 
439 199 1 
439 115 1 
439 133 1 
222 382 1 
222 101 1 
222 465 1 
333 267 1 
333 12 1 
333 417 1 
135 115 1 
403 120 1 
403 70 1 
403 363 1 
403 69 1 
403 318 1 
65 254 1 
65 201 1 
65 152 1 
65 438 1 
65 473 1 
415 166 1 
415 322 1 
415 318 1 
72 82 1 
72 304 1 
72 409 1 
159 257 1 
159 75 1 
213 397 1 
366 369 1 
366 321 1 
478 315 1 
478 230 1 
478 442 1 
478 339 1 
355 114 1 
355 254 1 
355 100 1 
355 136 1 
355 127 1 
399 197 1 
399 13 1 
314 356 1 
314 103 1 
314 327 1 
259 291 1 
259 442 1 
264 79 1 
264 177 1 
264 37 1 
264 274 1 
264 187 1 
28 324 1 
28 103 1 
28 193 1 
28 258 1 
28 417 1 
28 215 1 
28 367 1 
28 437 1 
270 92 1 
270 117 1 
270 407 1 
270 137 1 
162 233 1 
162 466 1 
162 82 1 
162 189 1 
235 14 1 
235 83 1 
81 340 1 
81 16 1 
346 311 1 
346 384 1 
346 183 1 
346 124 1 
410 411 1 
311 169 1 
311 228 1 
311 177 1 
311 211 1 
311 158 1 
46 112 1 
46 400 1 
46 416 1 
46 39 1 
248 273 1 
207 285 1 
207 319 1 
207 352 1 
404 209 1 
404 406 1 
404 109 1 
404 351 1 
1 384 1 
1 109 1 
1 123 1 
1 320 1 
273 85 1 
273 265 1 
273 436 1 
273 20 1 
74 353 1 
74 252 1 
256 315 1 
256 194 1 
267 282 1 
267 184 1 
477 290 1 
115 44 1 
115 363 1 
115 438 1 
115 22 1 
332 270 1 
332 26 1 
332 274 1 
332 149 1 
332 53 1 
40 309 1 
40 210 1 
40 453 1 
196 170 1 
196 447 1 
169 281 1 
169 240 1 
169 50 1 
233 153 1 
233 49 1 
233 361 1 
233 8 1 
233 9 1 
233 188 1 
153 452 1 
153 276 1 
153 178 1 
131 208 1 
85 412 1 
85 7 1 
113 135 1 
113 180 1 
113 143 1 
113 460 1 
113 409 1 
26 433 1 
49 369 1 
49 239 1 
246 300 1 
378 120 1 
378 204 1 
378 454 1 
24 86 1 
122 254 1 
79 231 1 
79 151 1 
79 307 1 
79 479 1 
79 156 1 
79 93 1 
5 161 1 
5 172 1 
5 354 1 
5 359 1 
5 456 1 
420 308 1 
420 157 1 
420 211 1 
461 160 1 
461 381 1 
461 42 1 
254 444 1 
254 454 1 
384 22 1 
384 268 1 
466 279 1 
466 7 1 
209 362 1 
209 377 1 
209 56 1 
471 108 1 
471 164 1 
306 195 1 
306 353 1 
306 343 1 
306 335 1 
432 405 1 
432 167 1 
241 475 1 
405 112 1 
405 64 1 
405 295 1 
309 216 1 
161 71 1 
161 272 1 
322 291 1 
322 100 1 
322 99 1 
322 4 1 
322 98 1 
322 326 1 
195 415 1 
195 408 1 
195 381 1 
90 77 1 
90 390 1 
90 277 1 
90 82 1 
90 445 1 
90 304 1 
90 194 1 
356 397 1 
356 88 1 
155 407 1 
155 280 1 
155 468 1 
265 197 1 
265 385 1 
265 402 1 
231 125 1 
231 313 1 
231 278 1 
231 375 1 
77 462 1 
77 157 1 
257 107 1 
257 31 1 
291 242 1 
291 63 1 
291 244 1 
180 480 1 
423 163 1 
423 278 1 
423 335 1 
100 10 1 
269 48 1 
395 143 1 
361 207 1 
361 287 1 
361 50 1 
433 168 1 
433 25 1 
2 160 1 
2 201 1 
444 481 1 
444 174 1 
444 11 1 
151 56 1 
151 104 1 
151 123 1 
151 342 1 
151 11 1 
315 68 1 
315 363 1 
97 76 1 
97 71 1 
97 441 1 
97 171 1 
160 312 1 
160 237 1 
282 254 1 
282 210 1 
68 449 1 
331 412 1 
331 425 1 
331 70 1 
452 48 1 
452 389 1 
452 397 1 
230 62 1 
230 325 1 
369 450 1 
369 45 1 
369 440 1 
431 284 1 
431 397 1 
431 183 1 
163 32 1 
163 411 1 
163 370 1 
163 279 1 
163 320 1 
276 382 1 
276 255 1 
71 281 1 
71 94 1 
450 210 1 
450 447 1 
450 41 1 
285 60 1 
285 29 1 
443 176 1 
184 68 1 
184 479 1 
184 372 1 
184 360 1 
184 435 1 
184 438 1 
112 136 1 
112 105 1 
112 319 1 
430 156 1 
430 398 1 
412 403 1 
412 278 1 
412 217 1 
396 47 1 
58 191 1 
406 362 1 
406 374 1 
481 17 1 
390 139 1 
197 98 1 
197 225 1 
312 394 1 
312 383 1 
312 381 1 
400 314 1 
400 425 1 
400 17 1 
201 31 1 
75 37 1 
75 205 1 
75 299 1 
172 269 1 
172 479 1 
12 242 1 
387 107 1 
387 191 1 
324 186 1 
324 319 1 
170 123 1 
170 294 1 
170 357 1 
382 343 1 
382 139 1 
382 238 1 
382 175 1 
382 164 1 
89 242 1 
89 326 1 
425 345 1 
425 339 1 
425 391 1 
425 175 1 
313 58 1 
313 271 1 
313 272 1 
313 416 1 
313 342 1 
242 307 1 
242 398 1 
373 7 1 
373 181 1 
99 277 1 
362 88 1 
362 30 1 
362 253 1 
55 479 1 
307 282 1 
307 175 1 
136 239 1 
214 228 1 
441 62 1 
441 216 1 
353 408 1 
462 104 1 
462 283 1 
411 319 1 
284 171 1 
48 61 1 
48 10 1 
370 70 1 
370 438 1 
239 149 1 
239 18 1 
67 410 1 
67 176 1 
107 143 1 
107 29 1 
210 472 1 
210 42 1 
316 9 1 
316 18 1 
316 427 1 
479 91 1 
479 142 1 
479 54 1 
374 63 1 
374 138 1 
8 465 1 
377 428 1 
78 124 1 
389 416 1 
389 463 1 
250 163 1 
250 370 1 
250 449 1 
228 349 1 
228 468 1 
64 111 1 
64 212 1 
64 288 1 
204 338 1 
204 132 1 
204 429 1 
204 190 1 
56 442 1 
397 244 1 
343 136 1 
343 25 1 
191 436 1 
271 316 1 
271 409 1 
271 176 1 
271 464 1 
146 470 1 
177 411 1 
177 299 1 
177 463 1 
4 1 1 
4 6 1 
394 380 1 
394 252 1 
446 201 1 
446 296 1 
446 293 1 
446 20 1 
37 251 1 
45 446 1 
45 436 1 
205 388 1 
205 419 1 
200 464 1 
200 275 1 
442 320 1 
442 327 1 
442 38 1 
442 57 1 
134 216 1 
281 237 1 
277 347 1 
277 359 1 
63 132 1 
274 249 1 
274 401 1 
274 102 1 
436 276 1 
436 84 1 
278 156 1 
149 340 1 
149 0 1 
82 347 1 
82 252 1 
168 200 1 
168 47 1 
168 297 1 
91 297 1 
91 61 1 
290 212 1 
383 294 1 
279 231 1 
279 47 1 
279 354 1 
279 417 1 
279 325 1 
292 16 1 
292 428 1 
292 357 1 
292 38 1 
292 261 1 
292 23 1 
296 229 1 
388 457 1 
457 134 1 
457 408 1 
457 225 1 
263 187 1 
262 437 1 
223 143 1 
223 6 1 
152 156 1 
380 14 1 
340 367 1 
340 470 1 
104 102 1 
104 465 1 
447 101 1 
447 190 1 
70 280 1 
70 458 1 
62 117 1 
62 94 1 
62 236 1 
62 464 1 
338 47 1 
293 187 1 
187 23 1 
0 64 1 
0 111 1 
317 299 1 
105 245 1 
105 23 1 
232 315 1 
232 386 1 
232 261 1 
299 249 1 
299 139 1 
47 396 1 
47 178 1 
47 401 1 
339 193 1 
339 42 1 
339 35 1 
372 179 1 
372 440 1 
372 93 1 
372 137 1 
347 207 1 
347 54 1 
347 215 1 
156 453 1 
156 440 1 
156 476 1 
354 427 1 
140 437 1 
249 193 1 
445 243 1 
445 287 1 
445 202 1 
445 164 1 
139 359 1 
186 270 1 
186 14 1 
186 44 1 
109 181 1 
9 7 1 
272 429 1 
117 325 1 
98 34 1 
98 216 1 
98 39 1 
98 305 1 
391 226 1 
128 434 1 
414 226 1 
414 189 1 
416 103 1 
416 236 1 
408 327 1 
408 352 1 
407 193 1 
407 318 1 
103 117 1 
103 226 1 
472 270 1 
472 274 1 
472 168 1 
472 16 1 
60 140 1 
60 245 1 
60 288 1 
449 330 1 
449 341 1 
449 225 1 
123 52 1 
123 53 1 
123 208 1 
34 435 1 
14 439 1 
14 68 1 
14 83 1 
14 359 1 
454 251 1 
454 398 1 
454 118 1 
454 473 1 
245 86 1 
320 21 1 
320 173 1 
320 465 1 
360 216 1 
360 367 1 
229 78 1 
229 463 1 
421 358 1 
304 176 1 
304 118 1 
326 93 1 
326 470 1 
237 349 1 
237 31 1 
21 354 1 
21 16 1 
21 386 1 
59 118 1 
335 44 1 
335 133 1 
226 132 1 
16 329 1 
16 253 1 
251 157 1 
251 20 1 
240 327 1 
183 173 1 
53 268 1 
435 480 1 
171 417 1 
308 358 1 
157 398 1 
157 234 1 
178 476 1 
44 229 1 
44 194 1 
193 430 1 
193 174 1 
193 244 1 
280 82 1 
280 358 1 
280 429 1 
17 148 1 
17 375 1 
17 480 1 
216 255 1 
216 376 1 
83 252 1 
83 158 1 
143 102 1 
143 121 1 
143 286 1 
143 84 1 
255 258 1 
255 101 1 
255 438 1 
255 364 1 
460 456 1 
363 376 1 
142 406 1 
142 401 1 
142 342 1 
142 27 1 
142 456 1 
258 102 1 
258 188 1 
18 453 1 
18 476 1 
381 470 1 
381 175 1 
69 253 1 
88 481 1 
88 93 1 
434 23 1 
376 423 1 
376 194 1 
7 137 1 
463 287 1 
463 173 1 
54 116 1 
194 300 1 
6 133 1 
39 225 1 
13 174 1 
386 86 1 
386 11 1 
101 1 1 
101 253 1 
86 206 1 
86 390 1 
86 173 1 
321 275 1 
349 116 1 
349 419 1 
409 193 1 
409 208 1 
409 150 1 
20 38 1 
132 102 1 
132 329 1 
453 40 1 
453 301 1 
167 94 1 
287 190 1 
138 470 1 
427 56 1 
427 84 1 
417 257 1 
417 438 1 
417 116 1 
108 175 1 
300 356 1 
300 188 1 
185 268 1 
358 154 1 
283 202 1 
208 470 1 
440 261 1 
31 297 1 
31 295 1 
25 419 1 
111 385 1 
458 286 1 
428 445 1 
428 294 1 
30 364 1 
173 72 1 
173 414 1 
173 470 1 
297 148 1 
42 192 1 
42 286 1 
176 268 1 
93 319 1 
215 286 1 
215 154 1 
252 244 1 
252 468 1 
401 419 1 
61 121 1 
174 114 1 
174 267 1 
174 26 1 
174 50 1 
327 124 1 
148 186 1 
148 351 1 
429 158 1 
212 319 1 
189 11 1 
225 44 1 
225 111 1 
225 164 1 
422 464 1 
133 10 1 
351 236 1 
367 80 1 
367 427 1 
367 480 1 
334 359 1 
438 158 1 
102 301 1 
102 419 1 
121 342 1 
121 244 1 
385 84 1 
94 127 1 
236 384 1 
236 401 1 
236 325 1 
286 352 1 
286 116 1 
325 203 1 
325 38 1 
398 202 1 
398 137 1 
359 150 1 
22 409 1 
22 164 1 
202 476 1 
294 203 1 
294 211 1 
329 238 1 
253 431 1 
253 11 1 
234 17 1 
234 29 1 
211 38 1 
211 476 1 
342 221 1 
342 464 1 
342 50 1 
238 125 1 
238 150 1 
181 35 1 
319 158 1 
10 429 1 
10 188 1 
375 168 1 
375 175 1 
475 243 1 
475 385 1 
475 11 1 
475 27 1 
352 154 1 
188 41 1 
318 476 1 
301 261 1 
41 419 1 
295 118 1 
470 38 1 
470 11 1 
437 190 1 
118 137 1 
288 11 1 
288 465 1 
357 402 1 
158 140 1 
158 84 1 
473 438 1 
473 118 1 
473 84 1 
127 73 1 
127 175 1 
137 286 1 
137 305 1 
175 305 1 
164 468 1 
154 480 1 
38 50 1 
244 456 1 
261 113 1 
261 305 1 
464 217 1 
11 116 1 
476 402 1 
190 268 1 
23 181 1 
23 84 1 
84 364 1 
468 237 1 
468 35 1 
465 29 1 
402 35 1 
268 480 1 
29 480 1 
35 421 1 
35 50 1 
27 353 1 
27 217 1 
124 362 1 
124 186 1 
124 305 1 
456 364 1 
480 67 1 
480 419 1 
305 275 1 
50 150 1 
116 275 1 
275 419 1 
419 150 1 
150 364 1 
364 217 1 
217 324 1 
217 57 1 
